1.000000;F_02_1_0007_0002;WolfWild1DC
2.000000;F_02_0_0309_0002;WolfWild2DC
3.000000;F_02_1_0007_0003;WolfWildDC
4.000000;F_02_0_0309_0000;WolfRashaDC
5.000000;F_00_0_0245_0000;PegasusADC
6.000000;F_00_0_0245_0001;NightMareDC
7.000000;F_00_0_0309_0000;PegasusDC
8.000000;F_03_0_0309_0001;WolfWild3DC
9.000000;F_03_0_0245_0001;Leochacadc
10.000000;F_03_0_0245_0002;LeopDC
11.000000;F_03_0_0309_0009;WolfWild3DC
12.000000;F_03_0_0309_0010;WolfWildDC
13.000000;F_03_0_0245_0003;LeopDC
14.000000;F_03_0_0245_0004;Leop1DC
15.000000;F_03_0_0083_0001;BearTrutanDC
16.000000;F_03_0_0083_0003;BearBrown2DC
17.000000;F_03_0_0083_0005;BearBrown2DC
18.000000;F_03_0_0083_0006;BearBrownDC
19.000000;F_03_0_0083_0007;BearBrownDC
20.000000;F_02_1_0011_0000;BoarMane1DC
21.000000;F_02_1_0011_0001;BoarMane1DC
22.000000;F_02_1_0011_0002;BoarToothDC
23.000000;F_03_0_0672_0001;BullBuffaDC
24.000000;F_03_0_0672_0002;BullBuffaDC
25.000000;F_03_0_0672_0003;BullMilkDC
26.000000;F_03_0_0672_0004;BullBuffa1DC
27.000000;F_03_0_0672_0005;BullBuffa1DC
28.000000;F_03_0_0309_0002;WolfWildDC
29.000000;F_04_0_0309_0000;WolfBlueDC
30.000000;F_04_0_0309_0001;WolfBlue1DC
31.000000;F_04_0_0309_0002;WolfRashaDC
32.000000;F_51_0_0083_0000;BearBrownDC
33.000000;F_02_0_0676_0001;SpidTaslDC
34.000000;F_03_0_0676_0001;SpidBase3DC
35.000000;F_51_0_0611_0000;SpidBlzzaDC
36.000000;F_02_1_0606_0002;BoarForchDC
37.000000;F_03_0_0672_0006;BullBuffaDC
38.000000;F_03_0_0671_0001;ReinBase3DC
39.000000;F_03_0_0671_0002;ReinBase3DC
40.000000;F_03_0_0671_0003;ReinBase9DC
41.000000;F_03_0_0671_0005;ReinBase3DC
42.000000;F_03_0_0671_0007;ReinBase3DC
43.000000;F_03_0_0671_0008;ReinBase3DC
44.000000;F_03_0_0671_0009;ReinBase4DC
45.000000;F_03_0_0692_0000;EturDC
46.000000;F_03_0_0769_0000;HorsWindkDC
47.000000;F_03_0_0769_0001;HorsPonyDC
48.000000;F_02_1_0309_0000;WolfWild3DC
49.000000;F_02_0_0676_0002;SpidBase1DC
50.000000;F_50_0_0245_0000;MagHoundDC
51.000000;F_03_0_0692_0002;Etur1DC
52.000000;F_03_0_1720_0000;HorsUnicDC
53.000000;F_03_0_0704_0001;DragAsterDC
54.000000;F_02_1_0606_0000;BoarToothDC
55.000000;F_04_0_0245_0000;LeopSnowDC
56.000000;F_04_0_0245_0001;LeopCrugDC
57.000000;F_04_0_0245_0002;LeopSnowDC
58.000000;F_04_0_0083_0000;BearBrown2DC
59.000000;F_04_0_0083_0001;PolarBearDC
60.000000;F_03_0_0671_0010;ReinBase3DC
61.000000;F_03_0_0245_0005;MagHoundADC
62.000000;F_03_0_1715_0001;DragCarasDC
63.000000;F_02_0_0676_0003;SpidBase1DC
64.000000;F_03_0_0704_0010;DragFlakeDC
65.000000;F_02_1_0007_0000;WolfWildDC
66.000000;F_02_1_0007_0001;WolfWildDC_Pet
67.000000;F_03_0_1715_0003;empty_pet
68.000000;F_00_0_0001_0001;empty_pet
69.000000;F_03_0_1716_0000;FirebirdDC
70.000000;F_03_0_1717_0000;DragRashaDC
71.000000;F_03_0_1718_0000;DragFlakeDC
72.000000;F_00_0_0001_0002;empty_pet
73.000000;F_03_0_0769_0002;HorsvioletDC
74.000000;F_03_0_0769_0003;HorseWildDC
75.000000;F_03_0_0769_0004;HorsbrownDC
76.000000;F_03_0_1715_0004;PegasusDC
77.000000;F_03_0_1715_0005;YFireBirdDC
78.000000;F_02_Liger_0001;LigerDC
